unit_idx,frase,claude_opus_4_8,claude_notas,qwen3-14b-q4_k_m,correccion_experto,ok
108,que empobrece a los argentinos de bien en favor de la casta corrupta.,indignacion (Milei) [infer],'empobrece a los argentinos de bien en favor de la casta corrupta'.,2: frustración(los argentinos de bi) | indiferencia(la casta corrupta),,ok
109,"Donde la casta corrupta se compone de políticos ladrones, que ponen sus privilegios por encima del bienestar de los argentinos, por empresarios prebendarios que hacen negocios con los políticos corruptos, por medios de comunicación corruptos que están muy enojados con nosotros porque les eliminamos la pauta oficial, también por los sindicalistas que se ocupan de sus negocios en contra de la gente",indignacion (Milei->casta) [infer],'politicos ladrones... privilegios por encima del bienestar'.,2: indiferencia(la casta corrupta) | enojo(medios de comunicaci),indignacion (Milei->casta corrupta) [infer] | enojo (medios de comunicacion corruptos) [expl],ok
110,y además por aquellos profesionales que son funcionales a la religión del Estado que viven de defender a estos corruptos.,indignacion (Milei) [infer],"'profesionales funcionales... que viven de defender corruptos'. Experienciador = Milei, no los profesionales.",3: indignación(profesionales (colec) | indignación(funcionales a la rel) | indiferencia(corruptos (colectivo),,ok
111,"Por lo tanto, tomarán conciencia de la gran pelea que estamos dando.",determinacion (Milei/nosotros) [infer],'la gran pelea que estamos dando'.,2: indignación(los argentinos de bi) | indiferencia(la casta corrupta),,ok
112,Pero no nos vamos a rendir en volver a hacer Argentina grande nuevamente.,determinacion (Milei/nosotros) [infer] | esperanza (Milei/nosotros) [infer],'no nos vamos a rendir... Argentina grande'. Frase POSITIVA. q2=8 negativas = arrastre.,8: frustración(el gobierno) | miedo(los beneficiarios de) | indignación(los argentinos de bi) | indiferencia(la casta corrupta) | enojo(medios de comunicaci) | indignación(profesionales) | indignación(funcionales a la rel) | indignación(corruptos),determinacion (Milei/nosotros) [infer] | esperanza (Milei/nosotros) [infer] | esperanza (Argentina) [sost/POTENCIAL] (conf-baja),ok
113,"La otra gran amenaza por donde atacan los socialistas y el estatismo es básicamente la discusión entre eficiencia y distribución, donde ahí se señala al capitalismo como un sistema hiper individualista y se lo compara con el altruismo socialista con el dinero ajeno.",preocupacion (Milei) [infer] | desaprobacion (Milei->socialistas) [infer],'gran amenaza por donde atacan los socialistas'.,4: desconfianza(socialistas) | desconfianza(estatismo) | desaprobación(capitalismo) | aprobación(altruismo socialista),preocupacion (Milei) [infer] | desaprobacion (Milei->socialistas) [infer] | aprobación (socialistas->altruismo socialista) [infer] (conf-baja) | altruismo (socialistas) [expl/VIRTUAL] (conf-baja),ok
114,Siempre con el dinero ajeno.,indignacion (Milei->casta) [infer],"'Siempre con el dinero ajeno': pulla. Experienciador = Milei, NO 'ellos' (error del modelo).",1: indignación(el dinero ajeno),,ok
115,"Y esta aberración se lleva a cabo en nombre de la justicia social, donde Hayek hablaba de las palabras comadreja.",indignacion (Milei) [infer],'aberracion'. Una sola. q2=9 = arrastre.,9: frustración(el gobierno) | miedo(los beneficiarios de) | indignación(los argentinos de bi) | indiferencia(la casta corrupta) | enojo(medios de comunicaci) | indignación(profesionales) | indignación(funcionales a la rel) | indignación(corruptos) | desconfianza(el dinero ajeno),,ok
116,"Donde cada vez que le ponían un adjetivo, significaba totalmente lo opuesto.",desaprobacion (Milei) [infer] (conf-baja),'significaba lo opuesto' (palabras comadreja).,1: indignación(el enunciatario (Jav),,ok
117,"De hecho como dice el gran Jesús Huerta de Soto, la justicia social es violenta e injusta, no es ni justa ni social ni nada, es una aberración.",indignacion (Milei->justicia social) [infer] | admiracion (Milei->Huerta de Soto) [infer],'el gran Jesus Huerta de Soto... aberracion'.,2: indignación(Jesús Huerta de Soto) | indignación(Jesús Huerta de Soto),,ok
118,"En primer lugar, es injusta porque implica un trato desigual frente a la ley y la redistribución que implica la justica social es robarle a uno para darle a otro.",indignacion/desaprobacion (Milei) [infer],'robarle a uno para darle a otro'.,1: indignación(Javier Milei),,ok
119,Lo que hace que la justicia social además de ser violenta sea injusta.,desaprobacion/indignacion (Milei) [infer] (conf-baja),'violenta e injusta'.,1: indignación(la justicia social (),desaprobacion/indignacion (Milei) [infer],ok
120,"En el mismo sentido, esto se agrava con la idea de la democracia ilimitada.",preocupacion/desaprobacion (Milei) [infer] (conf-baja),'se agrava con la democracia ilimitada'.,1: indignación(Javier Milei),,ok
121,"Es decir, la democracia originalmente fue diseñada para respetar el derecho de las más pequeñas de las minorías, el individuo.",NINGUNA (conf-baja),Expositiva (origen de la democracia).,1: justicia(la democracia (insti),,ok
122,"Pero cuando ingresan las ideas socialistas e ingresa la idea de la democracia ilimitada, ingresa el populismo.",desaprobacion (Milei->socialismo/populismo) [infer] (conf-baja),'ingresa el populismo'.,1: indignación(Javier Milei),,ok
123,Pero para que no quede en algo tan abstracto les voy a dar un ejemplo.,NINGUNA,'les voy a dar un ejemplo'.,1: indignación(Javier Milei),,ok
124,Supongamos que se juntan cuatro lobos y una gallina.,NINGUNA,Setup de parabola (lobos/gallina).,2: indiferencia(lobos) | miedo(gallina),,ok
125,Ahora vamos votar por qué se come hoy a la noche.,NINGUNA (conf-baja),Parabola. Ironia oscura.,1: indignación(Javier Milei),miedo (la gallina) [sost/PARABOLICO] (conf-baja),ok
126,Se acaban de comer la gallina.,NINGUNA (conf-baja),'se comieron la gallina': ironia.,1: miedo(la gallina),miedo (la gallina) [sost/PARABOLICO] (conf-baja),ok
127,"En el fondo eso también es lo que pasa en la economía, la gallina de los huevos de oro es el segmento que genera riqueza, pero por la forma de la distribución del ingreso, el 80% de la población tiene un ingreso menor que el ingreso promedio.",desaprobacion/preocupacion (Milei) [infer] (conf-baja),'gallina de los huevos de oro... por la distribucion'.,2: seguridad(el segmento que gene) | descontento(el 80% de la poblaci),NINGUNA (conf-baja),ok
128,Y ahí es cuando aparece el político populista que dice que hay que sacarles a los ricos para darle a los pobres.,desaprobacion (Milei->politico populista) [infer],Caracterizacion negativa del 'politico populista'.,3: indignación(el político populist) | miedo(los ricos) | esperanza(los pobres),desaprobacion (Milei->politico populista) [infer] | preocupación (los ricos) [sost/POTENCIAL] (conf-baja) | esperanza (los pobres) [sost/POTENCIAL] (conf-baja) ,ok
129,"No solo Venezuela, Argentina y todo el populismo latinoamericano.",desaprobacion (Milei->populismo) [infer] (conf-baja),'todo el populismo latinoamericano'.,1: indignación(populismo latinoamer),,ok
130,"Y cuando eso ocurre, se destruye los beneficios y se destruye el crecimiento económico.",desaprobacion/preocupacion (Milei) [infer] (conf-baja),'se destruye el crecimiento'.,1: indignación(la justicia social (),,ok
131,"Si lo quieren en términos prácticos, Argentina es un país que produce alimentos para más de 400 millones de seres humanos y la presión fiscal sobre el sector productor de alimentos es del 70%.",desaprobacion (Milei->Estado) [infer] (conf-baja),Presion fiscal sobre el sector.,1: frustración(el sector productor ),,ok
132,Es decir que el Estado se queda con el alimento de 280 millones de seres humanos.,indignacion (Milei->Estado) [infer],'el Estado se queda con el alimento de 280 millones'.,1: indignación(el Estado (instituci),,ok
133,"A pesar de ello, hay 5 millones de argentinos que no les alcanza para comer gracias al maldito Estado.",indignacion (Milei->Estado) [infer],'5 millones no les alcanza para comer gracias al maldito Estado'.,2: frustración(5 millones de argent) | indignación(el Estado (instituci),indignacion (Milei->Estado) [infer] | frustracion (5 millones de argentinos) [sost] (conf-baja),ok
134,"Otra parte que también discuten los socialistas y que tiene que ver con la distribución del ingreso, dicen que el sistema es injusto, hay un hermoso libro de Israel Kirzner, que se llama creatividad, capitalismo y justicia distributiva.",aprecio (Milei->libro) [infer] (conf-baja),'hermoso libro'. Rebate la idea socialista.,1: indignación(socialistas),aprecio (Milei->libro) [infer] (conf-baja) | desaprobación (socialistas) [infer] (conf-baja),ok
135,"Y ese libro parte de la hipótesis que Kirzner dice, el sistema capitalista es más productivo pero que si fuera verdaderamente injusto, no habría motivos para defenderlo.",NINGUNA,Expositiva (hipotesis de Kirzner).,1: indignación(Javier Milei),,ok
136,"En ese sentido, trabaja sobre dos ideas, trabaja con el principio de apropiación de Locke, el que se lo descubre se lo queda.",NINGUNA,Expositiva (Locke).,1: indignación(Javier Milei),,ok
137,"Si ustedes descubren algo, son los dueños de esos.",NINGUNA,Expositiva (apropiacion).,2: miedo(ustedes) | frustración(dueños de esos),,ok
138,"Y la otra idea es la de Hayet, que es la de mercado como proceso de descubrimiento, que implica que no hay una torta para repartir, sino que esa torta se va creando cuando se va produciendo.",NINGUNA,"Expositiva (Hayek, mercado como descubrimiento).",2: indignación(el Estado (instituci) | indignación(Javier Milei),,ok
139,"Por lo tanto, si esa torta se va descubriendo mientras que ustedes van avanzando en el proceso productivo, por lo tanto, lo lógico es que esa torta sea apropiada por aquel que la fue descubriendo.",NINGUNA,Expositiva.,1: orgullo(aquel que la fue des),convicción (Milei) [infer] (conf-baja),ok
140,"Por lo tanto, ahora el sistema no solo que es más productivo, sino que además es el único sistema que es justo.",satisfaccion/conviccion (Milei) [infer],'el unico sistema que es justo'.,2: orgullo(el sistema) | satisfaccion(el sistema),,ok
141,"Y la verdad es que digamos todo esto a los socialistas los tenemos más que en jaque mate, ya les diría que… por eso les voy a dar una más, les voy a dar bis.",satisfaccion/triunfo (Milei) [infer],'los tenemos mas que en jaque mate'.,1: miedo(socialistas),satisfaccion/triunfo (Milei) [infer] | frustracion (socialistas) [sost] (conf-baja),ok
142,"Naturalmente cuando uno regula los monopolios, regula las empresas, lo que eran los procesos competitivos y al mismo tiempo introduce en concepto de la justicia social, evidentemente eso conduce al estancamiento.",desaprobacion (Milei) [infer] (conf-baja),Regular introduce la justicia social que estanca.,2: frustración(el presidente de la ) | indignación(el presidente de la ),,ok
143,"Y ese estancamiento dado el crecimiento de la población lleva al empobrecimiento paulatino de ese país, ¿Y cómo corrigen esto? lo corrigen con la agenda asesina del aborto.",indignacion (Milei) [infer] | miedo (audiencia) [infer/potencial],'agenda asesina'.,2: desesperanza(el país) | indignación(la agenda asesina de),indignacion (Milei) [infer] | miedo (audiencia) [sost/POTENCIAL],ok
144,Una agenda asesina que podemos encontrar sus orígenes ya con los egipcios intentando exterminar a los judíos o con el caso de Malthus con su tratado sobre la población y la ley de hierro y salarios que promovía en control de la natalidad,indignacion (Milei) [infer] | miedo (audiencia) [infer/potencial] (conf-baja),"'agenda asesina', 'exterminar'.",3: indignación(el Estado (instituci) | indignación(5 millones de argent) | indignación(Javier Milei),indignacion (Milei) [infer] | miedo (audiencia) [sost/POTENCIAL] (conf-baja) | miedo (judios) [sost] (conf-baja),ok
145,"o más cercano -a fines de la década del 60- el Club de Roma, donde el Club de Roma decía que como mundo se movía con energía fósiles y como esas energías no son renovables, predecían que en el año 2000 se iban a agotar esos recursos.",desaprobacion (Milei->Club de Roma) [infer] (conf-baja),Reporta criticamente la prediccion del Club de Roma.,1: miedo(el Club de Roma),,ok
146,"Y sin embargo, esa situación lo que iba a generar es que no hubiera alimentos para todos y que nos íbamos a morir y que solamente quedaríamos mil millones de personas en el planeta tierra.",desaprobacion (Milei) [infer] (conf-baja),Reporta criticamente la prediccion catastrofista.,2: desesperanza(esa situación) | miedo(esa situación),desaprobacion (Milei) [infer] (conf-baja) | miedo/desesperación (humanidad) [sost] (conf-baja),ok
147,"Y en base a eso, hoy habiéndose desclasificado los archivos de Nixon y Kissinger sabemos que propusieron esa agenda asesina del aborto; donde, por ejemplo, (INAUDIBLE) tiene más locales que McDonald´s en todo el mundo.",indignacion (Milei) [infer],"'agenda asesina del aborto', archivos Nixon/Kissinger.",1: rechazo(la agenda asesina de),,ok
148,Pero afortunadamente se equivocaron de nuevo porque hoy en el mundo viven 8 mil millones de seres humanos.,satisfaccion/alivio (Milei) [infer],'afortunadamente se equivocaron... hoy viven 8 mil millones'.,1: indignación(el mundo),,ok
149,"Sin embargo, no cesan esa agenda asesina, de hecho, el postmarxismo frente a su derrota en lo económico trasladó sus batallas de lucha de clases a otros aspectos de la vida, por ejemplo, el ecologismo; donde plantea la lucha del hombre con la naturaleza, donde culpan al ser humano del calentamiento global",indignacion (Milei) [infer] | preocupacion (Milei) [infer],'no cesan esa agenda asesina... el postmarxismo traslado sus batallas'.,2: indignación(el postmarxismo) | culpa(el ecologismo),indignacion (Milei) [infer] | preocupacion (Milei) [infer] | desaprobacion (postmarxismo/ecologismo) [infer] (conf-baja),ok
150,"cuando esto ya ha pasado cuatros veces en la historia del planeta tierra y no vivía el ser humano, y donde para corregir este problema a los neomarxistas no se le ocurre otra cosa que exterminar a los humanos, si verdaderamente tuviéramos un problemas de recursos deberíamos estar esperando colonizar otros planeta, no condenarnos a la muerte.",desaprobacion/indignacion (Milei) [infer] (conf-baja),Reporta la pretension neomarxista criticamente.,2: miedo(el ser humano) | indignación(los neomarxistas),desaprobacion/indignacion (Milei) [infer],ok
151,"De hecho, todos esos análisis en contra del crecimiento de la población son falsos, entonces le quiero dejar el caso de un economista muy optimista que se llamaba Julian Simon, que señalaba que el crecimiento de la población traía más progreso tecnológico, entonces, por ejemplo, señalaba que había crecimiento tecnológico impulsado por la demanda",desaprobacion (Milei) [infer] | optimismo (Milei) [infer] (conf-baja),'esos analisis son falsos... un economista muy optimista'.,1: indignación(Javier Milei),desaprobacion (Milei) [infer] | optimismo (Milei) [infer] (conf-baja) | certeza (Milei) [infer] (conf-baja),ok
152,"donde básicamente al haber más personas y haber problemas de escasez y demás eso afectaba al sistema de precios y generaba nuevas reformas y nuevos progresos tecnológicos para resolver dichos problemas, y por otra parte señalaba el progreso tecnológico impulsado por el lado de la oferta",optimismo (Milei) [infer] (conf-baja),Mas personas -> mas reformas y progresos.,1: tensión(el sistema de precio),,ok
153,donde -por ejemplo- las chances de que tenga Mozart es mucho más grande si vive 1 millón de personas que si viven 10.,NINGUNA (conf-baja),Argumento optimista (Mozart/poblacion). Emocion debil.,0: ,,ok
154,"En definitiva, el mensaje es el siguiente: no dejen avanzar al socialismo, no avalen la regulación, no avalen la idea de los fallos del mercado, no permitan el avance de la agenda asesina y no se dejen llevar por los cantos de sirena de la justicia social; yo vengo de un país que compró todas esas ideas estúpidas y de ser un país de los más ricos del mundo está en el lugar 140.",desaprobacion (Milei->socialismo) [infer] | determinacion (audiencia) [infer/potencial],'no dejen avanzar al socialismo': exhortacion.,2: indignación(Javier Milei) | frustración(Javier Milei),desaprobacion (Milei->socialismo) [infer] | indignacion (Milei->agenda asesina) | determinacion (audiencia) [sost/POTENCIAL],ok
155,"Por lo tanto, no entreguen su libertad, peleen por su libertad, porque si no pelean por la libertad los van a llevar a la miseria.",determinacion (audiencia) [infer/potencial] | miedo (audiencia) [infer/potencial],"'peleen por su libertad... si no, la miseria'.",2: miedo(los) | indignación(los),determinacion (audiencia) [sost/POTENCIAL] | preocupacion/miedo (audiencia) [sost/POTENCIAL],ok
156,"Pero quiero dejarles también un mensaje de optimismo, Argentina parecía un país de ovejas condenado a la pobreza que nos marcan los socialistas y recuerdo cuando inicié mi carrera política para ser diputado Nacional dije: que yo no venía a guiar corderos, venía a despertar leones.",esperanza/optimismo (Milei/audiencia) [expl],'mensaje de optimismo'.,2: optimismo(Javier Milei) | frustración(Argentina),esperanza/optimismo (Milei/audiencia) [expl] | frustracion (Argentina) [infer] (conf-baja),ok
157,"Y fue así que cada día despertamos más leones y el mensaje de la libertad, no solo nos llevó a la presidencia a la Presidencia de la Argentina, sino que además estamos despertando a todo el mundo.",entusiasmo (Milei) [infer] | orgullo (Milei) [infer] | esperanza (Milei) [infer],'cada dia despertamos mas leones... nos llevo a la Presidencia'.,2: seguridad(Javier Milei) | determinación(Javier Milei),,ok
158,"Por lo tanto, no cedan frente a la lucha por la libertad, ¡viva la libertad carajo!",entusiasmo (Milei/audiencia) [infer] | determinacion (audiencia) [infer],'no cedan... viva la libertad carajo'.,2: determinación(Javier Milei) | entusiasmo(Javier Milei),entusiasmo (Milei) [infer] | entusiasmo (audiencia) [sost/POTENCIAL] | determinacion (audiencia) [sost/POTENCIAL],ok
159,¡viva la libertad carajo!,entusiasmo (Milei/audiencia) [expl],'viva la libertad carajo'.,2: entusiasmo(Javier Milei) | determinación(Javier Milei),entusiasmo (Milei) [infer] | entusiasmo (audiencia) [sost/POTENCIAL],ok
160,Muchas gracias.,agradecimiento (Milei) [expl] (conf-baja),'Muchas gracias': cortesia.,0: ,agradecimiento/gratitud (Milei) [infer],ok
